description,label,predicted_medical_specialty
"Suspicious calcifications upper outer quadrant, left breast. Left breast excisional biopsy with preoperative guidewire localization and intraoperative specimen radiography.",Consult - History and Phy.,Medical_speciality: Radiology
"Breast reconstruction post mastectomy. A 51-year-old lady for mastectomy on the right side, who is interested in the possibility of breast reconstruction.",Consult - History and Phy.,Cosmetic / Plastic Surgery
"Evaluation of pain and symptoms related to a recurrent bunion deformity in bilateral feet - recurrent bunion deformity, right forefoot & pes planovalgus deformity, bilateral feet.",Consult - History and Phy.,Orthopedic
"First-degree and second-degree burns, right arm secondary to hot oil spill - Workers' Compensation industrial injury.",Consult - History and Phy.,IME-QME-Work Comp etc.
"Left buttock abscess, status post incision and drainage. Recommended some local wound care",Consult - History and Phy.,Dermatology
"The patient is a very pleasant 72-year-old female with previous history of hypertension and also recent diagnosis of C. diff, presents to the hospital with abdominal pain, cramping, and persistent diarrhea.",Consult - History and Phy.,Gastroenterology
"T1 N3 M0 cancer of the nasopharynx, status post radiation therapy with 2 cycles of high dose cisplatin with radiation.",Consult - History and Phy.,Hematology - Oncology
Dietary consultation for carbohydrate counting for type I diabetes.,Consult - History and Phy.,Diets and Nutritions
"Patient with a history of atrial fibrillation in the past, more recently who has had atrial flutter. The patient has noted some lightheadedness as well as chest discomfort and shortness of breath when atrial flutter recurred.",Consult - History and Phy.,Cardiovascular / Pulmonary
"A woman with history of coronary artery disease, has had coronary artery bypass grafting x2 and percutaneous coronary intervention with stenting x1. She also has a significant history of chronic renal insufficiency and severe COPD.",Consult - History and Phy.,Cardiovascular / Pulmonary
"To evaluate recurrent episodes of uncomfortable feeling in arm at rest, as well as during exertion.",Consult - History and Phy.,Cardiovascular / Pulmonary
"To evaluate exercise-induced chest pain, palpitations, dizzy spells, shortness of breath, and abnormal EKG.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Patient with atrial fibrillation with slow ventricular response, partially due to medications.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Patient with right-sided chest pain, borderline elevated high blood pressure, history of hyperlipidemia, and obesity.",Consult - History and Phy.,Cardiovascular / Pulmonary
Cardiac evaluation and treatment in a patient who came in the hospital with abdominal pain.,Consult - History and Phy.,Cardiovascular / Pulmonary
Preoperative cardiac evaluation in the patient with chest pain in the setting of left hip fracture.,Consult - History and Phy.,Cardiovascular / Pulmonary
"The patient has a previous history of aortic valve disease, status post aortic valve replacement, a previous history of paroxysmal atrial fibrillation, congestive heart failure, a previous history of transient ischemic attack with no residual neurologic deficits.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Cardiomyopathy and hypotension. A lady with dementia, coronary artery disease, prior bypass, reduced LV function, and recurrent admissions for diarrhea and hypotension several times.",Consult - History and Phy.,Cardiovascular / Pulmonary
Patient reports a six to eight-week history of balance problems with later fatigue and weakness.,Consult - History and Phy.,Neurology
"Cervical spondylosis and kyphotic deformity. She had a nerve conduction study and a diagnosis of radiculopathy was made. She had an MRI of lumbosacral spine, which was within normal limits. She then developed a tingling sensation in the right middle toe.",Consult - History and Phy.,Neurology
Patient with palpitations and rcent worsening of chronic chest discomfort.,Consult - History and Phy.,Cardiovascular / Pulmonary
"Chest pain, possible syncopal spells. She has been having multiple cardiovascular complaints including chest pains, which feel like cramps and sometimes like a dull ache, which will last all day long.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Lump in the chest wall. Probably an old fracture of the area with callus formation, need to rule out the possibility of a tumor.",Consult - History and Phy.,Orthopedic
Newly diagnosed cholangiocarcinoma. The patient is noted to have an increase in her liver function tests on routine blood work. Ultrasound of the abdomen showed gallbladder sludge and gallbladder findings consistent with adenomyomatosis.,Consult - History and Phy.,Gastroenterology
"Delivered pregnancy, cholestasis of pregnancy, fetal intolerance to labor, failure to progress. Primary low transverse cesarean section.",Consult - History and Phy.,Obstetrics / Gynecology
A routine return appointment for a 71-year-old woman with chronic atrial fibrillation. Chief complaint today is shortness of breath.,Consult - History and Phy.,Cardiovascular / Pulmonary
"This is a 48-year-old black male with stage IV chronic kidney disease likely secondary to HIV nephropathy, although there is no history of renal biopsy, who has been noncompliant with the Renal Clinic and presents today for followup at the recommendation of his Infection Disease doctors.",Consult - History and Phy.,Nephrology
"A 14-month-old with history of chronic recurrent episodes of otitis media, totalling 6 bouts, requiring antibiotics since birth.",Consult - History and Phy.,Pediatrics - Neonatal
"Patient having severe sinusitis about two to three months ago with facial discomfort, nasal congestion, eye pain, and postnasal drip symptoms.",Consult - History and Phy.,ENT - Otolaryngology
"Clogged AV shunt. The patient complains of fatigue, nausea, vomiting and fever.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Newly diagnosed stage II colon cancer, with a stage T3c, N0, M0 colon cancer, grade 1. Although, the tumor was near obstructing, she was not having symptoms and in fact was having normal bowel movements.",Consult - History and Phy.,Oncology
Routine colorectal cancer screening. He occasionally gets some loose stools.,Consult - History and Phy.,Gastroenterology
Genetic counseling for a strong family history of colon polyps. She has had colonoscopies required every five years and every time she has polyps were found. She reports that of her 11 brothers and sister 7 have had precancerous polyps.,Consult - History and Phy.,Gastroenterology
A woman presents for neurological evaluation with regards to a diagnosis of multiple sclerosis.,Consult - History and Phy.,Neurology
"Congestion, tactile temperature.",Consult - History and Phy.,ENT - Otolaryngology
"A 5-month-old infant with cold, cough, and runny nose for 2 days. Mom states she had no fever. Her appetite was good but she was spitting up a lot.",Consult - History and Phy.,Pediatrics - Neonatal
A 2-month-old female with 1-week history of congestion and fever x2 days.,Consult - History and Phy.,Pediatrics - Neonatal
She is sent for evaluation of ocular manifestations of systemic connective tissue disorders. Denies any eye problems and history includes myopia with astigmatism.,Consult - History and Phy.,Ophthalmology
Abnormal EKG and rapid heart rate. The patient came to the emergency room. Initially showed atrial fibrillation with rapid ventricular response. It appears that the patient has chronic atrial fibrillation. She denies any specific chest pain. Her main complaint is shortness of breath and symptoms as above.,Consult - History and Phy.,Cardiovascular / Pulmonary
"Patient with a history of mesothelioma and likely mild dementia, most likely Alzheimer type.",Consult - History and Phy.,Hematology - Oncology
Patient with past medical history significant for coronary artery disease status post bypass grafting surgery and history of a stroke with residual left sided hemiplegia.,Consult - History and Phy.,Cardiovascular / Pulmonary
"Atrial fibrillation and shortness of breath. The patient is an 81-year-old gentleman with shortness of breath, progressively worsening, of recent onset. History of hypertension, no history of diabetes mellitus, ex-smoker, cholesterol status elevated, no history of established coronary artery disease, and family history positive.",Consult - History and Phy.,Cardiovascular / Pulmonary
The patient has been suffering from intractable back and leg pain.,Consult - History and Phy.,Pain Management
Patient presents with complaint of lump in the upper outer quadrant of the right breast,Consult - History and Phy.,Breast Surgery
"The patient is a 57-year-old female with invasive ductal carcinoma of the left breast, T1c, Nx, M0 left breast carcinoma.",Consult - History and Phy.,Hematology - Oncology
Patient with a history of right upper pons and right cerebral peduncle infarction.,Consult - History and Phy.,Neurology
"Patient with multiple problems, main one is chest pain at night.",Consult - History and Phy.,Cardiovascular / Pulmonary
"A 37-year-old admitted through emergency, presented with symptoms of chest pain, described as a pressure-type dull ache and discomfort in the precordial region. Also, shortness of breath is noted without any diaphoresis. Symptoms on and off for the last 3 to 4 days especially when he is under stress. No relation to exertional activity. No aggravating or relieving factors.",Consult - History and Phy.,Cardiovascular / Pulmonary
The patient is a 63-year-old white male who was admitted to the hospital with CHF and lymphedema.,Consult - History and Phy.,Cardiovascular / Pulmonary
"Congestive heart failure (CHF). The patient is a 75-year-old gentleman presented through the emergency room. Symptoms are of shortness of breath, fatigue, and tiredness. Main complaints are right-sided and abdominal pain. Initial blood test in the emergency room showed elevated BNP suggestive of congestive heart failure.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Coronary artery disease, prior bypass surgery. The patient has history of elevated PSA and BPH. He had a prior prostate biopsy and he recently had some procedure done, subsequently developed urinary tract infection, and presently on antibiotic. From cardiac standpoint, the patient denies any significant symptom except for fatigue and tiredness.",Consult - History and Phy.,Cardiovascular / Pulmonary
Chronic adenotonsillitis with adenotonsillar hypertrophy. Upper respiratory tract infection with mild acute laryngitis.,Consult - History and Phy.,ENT - Otolaryngology
"The patient had several episodes where she felt like her face was going to twitch, which she could suppress it with grimacing movements of her mouth and face.",Consult - History and Phy.,Neurology
Marked right hydronephrosis without hydruria.,Consult - History and Phy.,Urology
Patient with a past medical history of hypertension for 15 years.,Consult - History and Phy.,Cardiovascular / Pulmonary
Consultation for ICU management for a patient with possible portal vein and superior mesenteric vein thrombus leading to mesenteric ischemia.,Consult - History and Phy.,Cardiovascular / Pulmonary
"Recurrent jaw pain, described as numbness and tingling along the jaw, teeth, and tongue.",Consult - History and Phy.,Dentistry
Patient with complaint of left knee pain. Patient is obese and will be starting Medifast Diet.,Consult - History and Phy.,Orthopedic
Patient with mid-epigastric abdominal pain. Sonogram revealed gallstones.,Consult - History and Phy.,Gastroenterology
"The patient is a 36-year-old female with past medical history of migraine headaches, who was brought to the ER after she was having uncontrolled headaches. In the ER, the patient had a CT scan done, which was reported negative, and lumbar puncture with normal pressure and the cell count, and was admitted for followup.",Consult - History and Phy.,Neurology
"A 50-year-old female whose 51-year-old sister has a history of multiple colon polyps, which may slightly increase her risk for colon cancer in the future.",Consult - History and Phy.,Gastroenterology
The patient is an 84-year-old man who returns for revaluation of possible idiopathic normal pressure hydrocephalus.,Consult - History and Phy.,Neurology
The patient admitted with palpitations and presyncope.,Consult - History and Phy.,Cardiovascular / Pulmonary
Consult for prostate cancer,Consult - History and Phy.,Urology
Chronic headaches and pulsatile tinnitus.,Consult - History and Phy.,Neurology
Patient with family history of colon cancer and has rectal bleeding on a weekly basis and also heartburn once every 1 or 2 weeks.,Consult - History and Phy.,Gastroenterology
Patient comes for discussion of a screening colonoscopy.,Consult - History and Phy.,Gastroenterology
Patient referred for evaluation of her left temporal lobe epilepsy.,Consult - History and Phy.,Neurology
"Cerebral palsy, worsening seizures. A pleasant 43-year-old female with past medical history of CP since birth, seizure disorder, complex partial seizure with secondary generalization and on top of generalized epilepsy, hypertension, dyslipidemia, and obesity.",Consult - History and Phy.,Neurology
"Sepsis, possible SBP. A 53-year-old Hispanic man with diabetes, morbid obesity, hepatitis C, cirrhosis, history of alcohol and cocaine abuse presented in the emergency room for ground-level fall secondary to weak knees. He complained of bilateral knee pain, but also had other symptoms including hematuria and epigastric pain for at least a month.",Consult - History and Phy.,Gastroenterology
"Nonhealing right ankle stasis ulcer. A 52-year-old native American-Indian man with hypertension, chronic intermittent bipedal edema, and recurrent leg venous ulcers was admitted for scheduled vascular surgery.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Patient was brought in the Emergency Room following an episode of syncope. The patient relates that he may have had a seizure activity prior to that. Prior to the episode, he denies having any symptoms of chest pain or shortness of breath.",Consult - History and Phy.,Cardiovascular / Pulmonary
"A 52-year-old female who said she has had 1 week of nausea and vomiting, which is moderate-to-severe.",Consult - History and Phy.,Gastroenterology
Consultation - an 87-year-old white female with weakness and a history of polymyositis.,Consult - History and Phy.,Geriatrics
Patient presents for a colostomy reversal as well as repair of an incisional hernia.,Consult - History and Phy.,Surgery
A male referred to Wheelchair Clinic for evaluation for a new wheelchair.,Consult - History and Phy.,Physical Medicine - Rehab
A female with unknown gestational age who presents to the ED after a suicide attempt.,Consult - History and Phy.,Psychiatry / Psychology
The patient was referred after he was hospitalized for what eventually was diagnosed as a conversion disorder.,Consult - History and Phy.,Psychiatry / Psychology
"Consult for generalized body aches, cough, nausea, and right-sided abdominal pain for two days - Bronchitis.",Consult - History and Phy.,General Medicine
"Patient had a piece of glass fall on to his right foot. A 4-mm laceration. Acute foot pain, now resolved. The patient was given discharge instructions on wound care.",Consult - History and Phy.,Orthopedic
"Cerebrovascular accident (CVA). The patient presents to the emergency room after awakening at 2:30 a.m. this morning with trouble swallowing, trouble breathing, and left-sided numbness and weakness.",Consult - History and Phy.,Cardiovascular / Pulmonary
A 10 years of age carries a diagnosis of cystic fibrosis,Consult - History and Phy.,Pediatrics - Neonatal
One-week history of decreased vision in the left eye. Past ocular history includes cataract extraction with lens implants in both eyes.,Consult - History and Phy.,Ophthalmology
This is a 27-year-old female who presents with a couple of days history of some dental pain. She has had increasing swelling and pain to the left lower mandible area today.,Consult - History and Phy.,Dentistry
"A gentleman with a long history of heroin abuse, trying to get off the heroin, last use shortly prior to arrival including cocaine. The patient does have a history of alcohol abuse, but mostly he is concerned about the heroin abuse.",Consult - History and Phy.,Addiction Medicine
Elevated cholesterol and is on medication to lower it.,Consult - History and Phy.,Cardiovascular / Pulmonary
"The patient has been successful with weight loss due to assistance from others in keeping a food diary, picking lower-calorie items, her three-meal pattern, getting a balanced diet, and all her physical activity.",Consult - History and Phy.,Diets and Nutritions
The patient is brought in by an assistant with some of his food diary sheets.,Consult - History and Phy.,Diets and Nutritions
"Counting calorie points, exercising pretty regularly, seems to be doing well",Consult - History and Phy.,Diets and Nutritions
Dietary consultation for diabetes during pregnancy.,Consult - History and Phy.,Diets and Nutritions
Dietary consult for a 79-year-old African-American female diagnosed with type 2 diabetes in 1983.,Consult - History and Phy.,Diets and Nutritions
Dietary consultation for gestational diabetes.,Consult - History and Phy.,Diets and Nutritions
"Followup dietary consultation for hyperlipidemia, hypertension, and possible metabolic syndrome",Consult - History and Phy.,Diets and Nutritions
"Dietary consultation for hyperlipidemia, hypertension, gastroesophageal reflux disease and weight reduction.",Consult - History and Phy.,Diets and Nutritions
Dietary consultation for a woman with polycystic ovarian syndrome and hyperlipidemia.,Consult - History and Phy.,Diets and Nutritions
Dietary consultation for weight reduction secondary to diabetes.,Consult - History and Phy.,Diets and Nutritions
Difficulty with both distance vision and with fine print at near.,Consult - History and Phy.,Ophthalmology
A 63-year-old man with a dilated cardiomyopathy presents with a chief complaint of heart failure. He has noted shortness of breath with exertion and occasional shortness of breath at rest.,Consult - History and Phy.,Cardiovascular / Pulmonary
"He awoke one morning and had double vision. He states when he closed each eye, the double vision dissipated. The double vision entirely dissipated within one hour. The next day he woke up and he had double vision again.",Consult - History and Phy.,Neurology
A 12-year-old with discoid lupus on the control with optimal regimen.,Consult - History and Phy.,Dermatology
Disseminated intravascular coagulation and Streptococcal pneumonia with sepsis. Patient presented with symptoms of pneumonia and developed rapid sepsis and respiratory failure requiring intubation.,Consult - History and Phy.,Hematology - Oncology
"Patient reports a rotational sensation upon arising from the bed or chair that lasts for several minutes and requires her to sit back down and stay in one place. She gets similar symptoms when she rolls over in bed. At times, she also feels as though she is going to pass out. These sensations stop if she just sits in one place or lies down for several minutes.",Consult - History and Phy.,Neurology
"A 50-year-old white male with dog bite to his right leg with a history of pulmonary fibrosis, status post bilateral lung transplant several years ago.",Consult - History and Phy.,Cardiovascular / Pulmonary
Patient with episode of lightheadedness and suddenly experienced vertigo.,Consult - History and Phy.,Neurology
Dysphagia and hematemesis while vomiting. Diffuse esophageal dilatation/hematemesis,Consult - History and Phy.,Gastroenterology
Right ear pain with drainage - otitis media and otorrhea.,Consult - History and Phy.,ENT - Otolaryngology
13 years old complaining about severe ear pain - Chronic otitis media.,Consult - History and Phy.,ENT - Otolaryngology
"Patient went out partying last night and drank two mixed drinks last night and then over the course of the evening after midnight, the patient ended up taking a total of six Ecstasy tablets.",Consult - History and Phy.,Toxicology
"Left elbow pain. Fracture of the humerus, spiral. Possible nerve injuries to the radial and median nerve, possibly neurapraxia.",Consult - History and Phy.,Orthopedic
"Elevated BNP. Diastolic heart failure, not contributing to his present problem. Chest x-ray and CAT scan shows possible pneumonia. The patient denies any prior history of coronary artery disease but has a history of hypertension.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Abnormal cardiac enzyme profile. The patient is a 66-year-old gentleman, was brought into emergency room with obtundation. The patient was mechanically ventilated originally. His initial diagnosis was septic shock. His labs showed elevated cardiac enzyme profile.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Abnormal serum PSA of 16 ng/ml, dribbling urine, inability to empty bladder, nocturia, urinary hesitancy and slow urine stream.",Consult - History and Phy.,Urology
Encephalopathy related to normal-pressure hydrocephalus.,Consult - History and Phy.,Neurology
"Management of end-stage renal disease (ESRD), the patient on chronic hemodialysis, being admitted for chest pain.",Consult - History and Phy.,Cardiovascular / Pulmonary
Persistent dysphagia. Deviated nasal septum. Inferior turbinate hypertrophy. Chronic rhinitis. Conductive hearing loss. Tympanosclerosis.,Consult - History and Phy.,ENT - Otolaryngology
"Chronic eustachian tube dysfunction, chronic otitis media with effusion, recurrent acute otitis media, adenoid hypertrophy.",Consult - History and Phy.,ENT - Otolaryngology
Fall/loss of consciousness.,Consult - History and Phy.,Neurology
Fall with questionable associated loss of consciousness. Left parietal epidural hematoma.,Consult - History and Phy.,Neurosurgery
This is a 25-year-old male with nonspecific right-sided chest/abdominal pain from an unknown etiology.,Consult - History and Phy.,Cardiovascular / Pulmonary
The patient presents for a followup for history of erythema nodosum.,Consult - History and Phy.,Dermatology
"This 62-year-old white female has essential tremor and mild torticollis. Tremor not bothersome for most activities of daily living, but she does have a great difficulty writing, which is totally illegible.",Consult - History and Phy.,Neurology
"Severe tonsillitis, palatal cellulitis, and inability to swallow.",Consult - History and Phy.,ENT - Otolaryngology
Complete eye examination - Normal eye and vision exam.,Consult - History and Phy.,Ophthalmology
Patient presents for further evaluation of feet and hand cramps. He describes that the foot cramps are much more notable than the hand ones. He reports that he develops muscle contractions of his toes on both feet. These occur exclusively at night.,Consult - History and Phy.,Podiatry
Patient returns for his first followup after shunt surgery.,Consult - History and Phy.,Neurosurgery
"First Pap smear, complaining of irregular periods. - Menorrhagia, pelvic pain, dysmenorrhea, and irregular periods.",Consult - History and Phy.,Obstetrics / Gynecology
Left flank pain and unable to urinate.,Consult - History and Phy.,Urology
"Left flank pain, ureteral stone.",Consult - History and Phy.,Urology
"Abscess of the left foot, etiology unclear at this time. Possibility of foreign body.",Consult - History and Phy.,Podiatry
Consultation for left foot pain.,Consult - History and Phy.,Podiatry
"Foreign body of the left fifth fingernail (wooden splinter). He attempted to remove it with tweezers at home, but was unsuccessful. He is requesting we attempt to remove this for him.",Consult - History and Phy.,Dermatology
"Questionable foreign body, right nose. Belly and back pain. Mild constipation.",Consult - History and Phy.,ENT - Otolaryngology
Foul-smelling urine and stomach pain after meals.,Consult - History and Phy.,Gastroenterology
Pediatric Gastroenterology - History of gagging.,Consult - History and Phy.,Pediatric Gastroenterology
"Gentleman with long-standing morbid obesity, resistant to nonsurgical methods of weight loss with BMI of 69.7",Consult - History and Phy.,Bariatrics
Patient scheduled for laparoscopic gastric bypass.,Consult - History and Phy.,Bariatrics
Patient presented to the bariatric surgery service for consideration of laparoscopic roux en Y gastric bypass surgery.,Consult - History and Phy.,Bariatrics
Gastrointestinal Bleed. An 81-year-old presented to the emergency room after having multiple black tarry stools and a weak spell. She woke yesterday morning had a very dark and smelly bowel movement.,Consult - History and Phy.,Gastroenterology
Return to work & Fit for duty evaluation.,Consult - History and Phy.,IME-QME-Work Comp etc.
Checkup - Joints hurting all over - Arthralgias that are suspicious for inflammatory arthritis.,Consult - History and Phy.,Rheumatology
"Infection (folliculitis), pelvic pain, mood swings, and painful sex (dyspareunia).",Consult - History and Phy.,Obstetrics / Gynecology
Feeling weak and shaky - Dyspnea on exertion and history of diabetes,Consult - History and Phy.,Cardiovascular / Pulmonary
"Consult for hypertension and a med check. History of osteoarthritis, osteoporosis, hypothyroidism, allergic rhinitis and kidney stones.",Consult - History and Phy.,Internal Medicine
Complaint of left otalgia (serous otitis) and headache. History of atopic dermatitis.,Consult - History and Phy.,ENT - Otolaryngology
Complaint of mood swings and tearfulness.,Consult - History and Phy.,Psychiatry / Psychology
Short-term memory loss (probable situational) and anxiety stress issues.,Consult - History and Phy.,Psychiatry / Psychology
"An 18-month-old white male here with his mother for complaint of intermittent fever for the past five days. - Allergic rhinitis, fever history, sinusitis resolved, and teething.",Consult - History and Phy.,Pediatrics - Neonatal
1-year-old male who comes in with a cough and congestion. Clinical sinusitis and secondary cough.,Consult - History and Phy.,Pediatrics - Neonatal
"2-year-old female who comes in for just rechecking her weight, her breathing status, and her diet.",Consult - History and Phy.,Pediatrics - Neonatal
Initial clinic visit for foreign body in left eye.,Consult - History and Phy.,Ophthalmology
"11-year-old female. History of congestion, possibly enlarged adenoids.",Consult - History and Phy.,ENT - Otolaryngology
"A 2-year-old little girl with stuffiness, congestion, and nasal drainage. - Allergic rhinitis",Consult - History and Phy.,Allergy / Immunology
A 12-year-old young man with sinus congestion.,Consult - History and Phy.,ENT - Otolaryngology
Patient in with mom for possible ear infection.,Consult - History and Phy.,ENT - Otolaryngology
"Patient complaining of headaches, neck pain, and lower back pain over the last 2-3 weeks.",Consult - History and Phy.,Physical Medicine - Rehab
Patient with a past medical history of atrial fibrillation and arthritis complaining of progressively worsening shortness of breath.,Consult - History and Phy.,Cardiovascular / Pulmonary
Patient presents complaining of abdominal pain and discomfort for 3 weeks.,Consult - History and Phy.,Gastroenterology
"Nausea, vomiting, diarrhea, and fever.",Consult - History and Phy.,Gastroenterology
The patient brought in by EMS with a complaint of a decreased level of consciousness.,Consult - History and Phy.,Emergency Room Reports
Patient with intermittent episodes of severe nausea and abdominal pain.,Consult - History and Phy.,Gastroenterology
Examination due to blood-borne pathogen exposure.,Consult - History and Phy.,Infectious Disease
Patient was found to have decrease in mental alertness,Consult - History and Phy.,Neurology
"Patient was confused, had garbled speech, significantly worse from her baseline, and had decreased level of consciousness.",Consult - History and Phy.,Neurology
"Patient with osteoarthritis and osteoporosis with very limited mobility, depression, hypertension, hyperthyroidism, right breast mass, and chronic renal insufficiency",Consult - History and Phy.,Rheumatology
"Patient with hypertension, dementia, and depression.",Consult - History and Phy.,Internal Medicine
A male patient presented for evaluation of chronic abdominal pain.,Consult - History and Phy.,Gastroenterology
Patient with confusion and hallucinations.,Consult - History and Phy.,Psychiatry / Psychology
Patient coughing up blood and with severe joint pain.,Consult - History and Phy.,Hematology - Oncology
Patient with complaint of dark urine and generalized weakness.,Consult - History and Phy.,Hematology - Oncology
"Patient admitted with abdominal pain, nausea and vomiting.",Consult - History and Phy.,Gastroenterology
"Patient with abdominal pain, nausea, vomiting, fever, altered mental status.",Consult - History and Phy.,Gastroenterology
Consultation for jaw pain.,Consult - History and Phy.,Dentistry
Patient with a diagnosis of stroke.,Consult - History and Phy.,Neurology
"Backache, stomachache, and dysuria for the last two days - Urinary dysuria, left flank pain, pharyngitis.",Consult - History and Phy.,Urology
"Patient with one-week history of increased progressive shortness of breath, orthopnea for the past few nights, mild increase in peripheral edema, and active wheezing with dyspnea. Medifast does fatigue",Consult - History and Phy.,Cardiovascular / Pulmonary
"A 69-year-old female with past history of type II diabetes, atherosclerotic heart disease, hypertension, carotid stenosis.",Consult - History and Phy.,Cardiovascular / Pulmonary
An 80-year-old female with recent complications of sepsis and respiratory failure who is now receiving tube feeds.,Consult - History and Phy.,Hospice - Palliative Care
"For evaluation of left-sided chest pain, 5 days post abdominal surgery.",Consult - History and Phy.,Cardiovascular / Pulmonary
"Pneumonia in the face of fairly severe Crohn disease with protein-losing enteropathy and severe malnutrition with anasarca. He also has anemia and leukocytosis, which may be related to his Crohn disease as well as his underlying pneumonia.",Consult - History and Phy.,Pulmonary / Cardiovascular
The patient had temperature of 104 degrees F. It has been spiking ever since and she has had left sacroiliac type hip pain. She does have degenerative disk disease of her lumbar spine but no hip pathology. She has swollen inguinal nodes bilaterally.,Consult - History and Phy.,Infectious Disease
"The patient presents to the office today with complaints of extreme fatigue, discomfort in the chest and the back that is not related to any specific activity. Stomach gets upset with pain.",Consult - History and Phy.,Cardiovascular / Pulmonary
"A female with a past medical history of chronic kidney disease, stage 4; history of diabetes mellitus; diabetic nephropathy; peripheral vascular disease, status post recent PTA of right leg, admitted to the hospital because of swelling of the right hand and left foot.",Consult - History and Phy.,Nephrology
Patient with swelling of lips and dysphagia and Arthritis.,Consult - History and Phy.,Rheumatology
"An 86-year-old female with persistent abdominal pain, nausea and vomiting, during evaluation in the emergency room, was found to have a high amylase, as well as lipase count and she is being admitted for management of acute pancreatitis.",Consult - History and Phy.,Gastroenterology
"Abdominal pain, nausea and vomiting, rule out recurrent small bowel obstruction. The patient is an 89-year-old white male who developed lower abdominal pain, which was constant, onset approximately half an hour after dinner on the evening prior to admission.",Consult - History and Phy.,Gastroenterology
"Anxiety, alcohol abuse, and chest pain. This is a 40-year-old male with digoxin toxicity secondary to likely intentional digoxin overuse. Now, he has had significant block with EKG changes as stated.",Consult - History and Phy.,Cardiovascular / Pulmonary
"The patient is a 61-year-old lady who was found down at home and was admitted for respiratory failure, septic shock, acute renal failure as well as metabolic acidosis.",Consult - History and Phy.,medical_speciality: General Medicine
"The patient is a 35-year-old lady who was admitted with chief complaints of chest pain, left-sided with severe chest tightness after having an emotional argument with her boyfriend. The patient has a long history of psychological disorders.",Consult - History and Phy.,Psychiatry / Psychology
"Patient with several medical problems - numbness, tingling, and a pain in the toes.",Consult - History and Phy.,Neurology
Right-sided facial droop and right-sided weakness. Recent cerebrovascular accident. he CT scan of the head did not show any acute events with the impression of a new-onset cerebrovascular accident.,Consult - History and Phy.,Neurology
"Comprehensive Evaluation - Generalized anxiety and hypertension, both under fair control.",Consult - History and Phy.,Psychiatry / Psychology
"Comprehensive Evaluation - Diabetes, hypertension, irritable bowel syndrome, and insomnia.",Consult - History and Phy.,Internal Medicine
"History and Physical - A history of stage IIIC papillary serous adenocarcinoma of the ovary, presented to the office today left leg pain (left leg DVT).",Consult - History and Phy.,Medical Specialty: General Medicine
"Weakness, malaise dyspnea on exertion, 15-pound weight loss - Bilateral pneumonia, hepatitis, renal insufficiency,",Consult - History and Phy.,Hematology - Oncology
"GI Consultation due to rectal bleeding, positive celiac sprue panel",Consult - History and Phy.,Gastroenterology
"GI Consultation for chronic abdominal pain, nausea, vomiting, abnormal liver function tests.",Consult - History and Phy.,Gastroenterology
GI Consultation for Chrohn's disease.,Consult - History and Phy.,Gastroenterology
Nausea and abdominal pain after eating - Gall bladder disease - Laparoscopic cholecystectomy scheduled.,Consult - History and Phy.,Gastroenterology
Asked to see the patient in regards to a brain tumor. She was initially diagnosed with a glioblastoma multiforme. She presented with several lesions in her brain and a biopsy confirmed the diagnosis.,Consult - History and Phy.,Neurosurgery
Dysarthria. Probable brainstem glioma.,Consult - History and Phy.,Neurology
Headache. Right frontal lobe glioma.,Consult - History and Phy.,Neurology
"Progressive low-grade glioma, now more than 20 years since initially diagnosed. She is status post craniotomy for debulking and has done well with the surgery.",Consult - History and Phy.,Neurosurgery
Headache and diplopia.,Consult - History and Phy.,Neurology
"This is a 62-year-old woman with hypertension, diabetes mellitus, prior stroke who has what sounds like Guillain-Barre syndrome, likely the Miller-Fisher variant.",Consult - History and Phy.,Neurology
H&P for a female with Angina pectoris.,Consult - History and Phy.,Cardiovascular / Pulmonary
"An 85-year-old female with diarrhea, vomiting, and abdominal pain.",Consult - History and Phy.,Gastroenterology
"History of diabetes, osteoarthritis, atrial fibrillation, hypertension, asthma, obstructive sleep apnea on CPAP, diabetic foot ulcer, anemia, and left lower extremity cellulitis.",Consult - History and Phy.,Internal Medicine
"Irritable baby, 6-week-old, with fever for approximately 24 hours.",Consult - History and Phy.,Pediatrics - Neonatal
Intractable nausea and vomiting/history of diabetic gastroparesis/multiple endoscopies revealing gastritis and esophagitis.,Consult - History and Phy.,Gastroenterology
"Patient with right-sided arm weakness with speech difficulties, urinary tract infection, dehydration, and diabetes mellitus type 2",Consult - History and Phy.,Neurology
"New patient visit for right hand pain. Punched the wall 3 days prior to presentation, complained of ulnar-sided right hand pain, and was seen in the emergency room.",Consult - History and Phy.,Orthopedic
Newly diagnosed head and neck cancer. The patient was recently diagnosed with squamous cell carcinoma of the base of the tongue bilaterally and down extension into the right tonsillar fossa.,Consult - History and Phy.,Oncology
